rank,run,frequency_hz,composite_recognisability,enrichment_factor,coverage_recall,gaussian_contrast,directional_alignment
30,tags_ic_case_a_target_thick_refine_240_270,266.0,0.38468079674821176,1.4012301035687205,0.32732732732732733,1.4287008422228775,0.8018929417385021
31,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,420.0,0.38368806523094123,1.4034071865761926,0.2879546212879546,1.4310727377530594,0.9005561912269289
32,tags_ic_case_a_target_thick_refine_240_270,264.0,0.37702863647366675,1.4320146523901218,0.3490156823490157,1.4622885786072208,0.5269046592056769
33,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,860.0,0.3767408293177794,1.3538386933872921,0.32599265932599264,1.3771911949782631,0.9375620611168949
34,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,200.0,0.3603117124903125,1.3728552835928214,0.2365699032365699,1.397831739552746,0.9559919795122722
35,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,606.611,0.3501186981015536,1.4505871739426421,0.3943943943943944,1.4826009441233692,0.04253422970680487
36,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,400.0,0.3452625522492323,1.350420516770346,0.24324324324324326,1.3734852596989229,0.8865286522238509
37,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,387.72,0.34136347349613727,1.3117727665811436,0.25225225225225223,1.3316689559810726,0.9984940415646442
38,diagonal_dense_sweep,620.0,0.3330456779074038,1.3322353815775994,0.4057390724057391,1.3537894748905948,0.35999112711004505
39,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,950.0,0.3306508876322871,1.444873278299663,0.334668001334668,1.4763477433079388,0.05127579440445881
40,tags_ic_case_a_target_thick_refine_240_270,270.0,0.31392877545214015,1.3481058429821187,0.27761094427761096,1.370976432453283,0.4806063891447507
41,diagonal_dense_sweep,460.0,0.3113748536075036,1.2554261455229978,0.2699366032699366,1.2709835777135263,0.9144562910080717
42,tags_ic_case_a_target_thick,271.0,0.3100611656988975,1.33553447247488,0.2679346012679346,1.3573601586867936,0.5283980832803344
43,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,666.533,0.3064652748420242,1.2280762414889914,0.27927927927927926,1.2416473792589646,0.9721411966591423
44,tags_ic_case_a_target_thick_refine_240_270,268.0,0.2983384887718093,1.3745036494957246,0.29162495829162494,1.3996228619144901,0.16373364581992234
45,tags_ic_case_a_target_thick,306.0,0.2981495166870836,1.24213757129278,0.22122122122122123,1.2567202905203405,0.9934857631875259
46,diagonal_dense_sweep,680.0,0.2886967392679895,1.244589718860443,0.3023023023023023,1.2593509072158169,0.6436438852409088
47,pipeline_ic_full_w6_pipeline_ic_full_v2_strong,636.547,0.2848942789728199,1.1497417321885417,0.41207874541207873,1.1580518449117527,0.7610789092427447
48,tags_ic_case_a_target_thick,276.0,0.28319212864761123,1.2780500639460237,0.22022022022022023,1.295309783790676,0.6724187467434848
49,diagonal_dense_sweep,420.0,0.280115201721686,1.3521282282030926,0.27360694027360694,1.3753367255651463,0.13621474560508967
50,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,540.0,0.2705299205132015,1.3001784978487596,0.3213213213213213,1.319154604181816,0.13734683676195059
51,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,640.0,0.2585152065963092,1.2746012127868296,0.28862195528862195,1.2915979191639895,0.2369924807959007
52,tags_ic_case_a_target_thick,281.0,0.2537247016627002,1.2281006549887754,0.17417417417417416,1.2416733526142256,0.7599294266187049
53,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,400.0,0.2520584686482244,1.239945567862169,0.23623623623623624,1.2543692283763233,0.4983403719748891
54,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,860.0,0.24095122067657765,1.1620971194229714,0.1891891891891892,1.1711950670680993,0.9249903965886936
55,tags_ic_case_a_target_thick,286.0,0.23986568288309185,1.1888256128238541,0.13513513513513514,1.1996814061514969,0.9372756106578592
56,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,474.0,0.23903350426780523,1.1921015020003674,0.2769436102769436,1.2031779570311394,0.48670063351823756
57,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,250.0,0.2346788318865713,1.1703358279617975,0.14314314314314314,1.1799677253114018,0.9572217558124263
58,pipeline_w7_ic_v1_comsol_w7_multifreq_ic_v1,676.77,0.2297626981548262,1.108374734226687,0.2859526192859526,1.114161131407582,0.811986621479147
59,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,474.0,0.22438776684085646,1.1671844772858466,0.21988655321988657,1.1766113647040648,0.6405631679376769
60,diagonal_dense_sweep,1150.0,0.2133753009319575,1.0818466349579556,0.22956289622956288,1.086106508360989,0.9651880264512971
61,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,950.0,0.20445541951212237,1.1220029132597389,0.21788455121788455,1.1286014465693492,0.6884805105464287
62,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,474.0,0.20336086758871633,1.1743932958161392,0.1738405071738405,1.1842908410457629,0.5307921751886474
63,pipeline_w7_ic_v1_comsol_w7_multifreq_ic_v2_diverse,676.77,0.20094113437656047,1.1167053394942015,0.2182182182182182,1.1229859782675893,0.6812435538648655
